,time_index,time,Fiji_%spatial_extent,New_Caledonia_%spatial_extent,Vanuatu_%spatial_extent,Wallis_and_Futuna_%spatial_extent,Solomon_Islands_%spatial_extent,Tonga_%spatial_extent,Samoa_%spatial_extent,Tuvalu_%spatial_extent,Niue_%spatial_extent,Cook_Islands_%spatial_extent,Tokelau_%spatial_extent,American_Samoa_%spatial_extent
0,0,1981-09-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10000,2009-01-17,0.9620826259196379,0.0,0.0,0.0,0.0,9.42578548212351,0.0,0.0,0.0,0.0,0.0,0.0
0,10001,2009-01-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10002,2009-01-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10003,2009-01-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10004,2009-01-21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10005,2009-01-22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10006,2009-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10007,2009-01-24,0.0,0.18270401948842874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10008,2009-01-25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10009,2009-01-26,0.0,0.0,0.0,0.0,0.04701457451810061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,1000,1984-05-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10010,2009-01-27,0.0,0.0,0.0,0.0,0.04701457451810061,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10011,2009-01-28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10012,2009-01-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11303692539562923,0.0,0.0
0,10013,2009-01-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969856819894498,0.0,0.0
0,10014,2009-01-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969856819894498,0.0,0.0
0,10015,2009-02-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969856819894498,0.0,0.0
0,10016,2009-02-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9969856819894498,0.0,0.0
0,10017,2009-02-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0723436322532027,0.0,0.0
0,10018,2009-02-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0723436322532027,0.0,0.0
0,10019,2009-02-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0723436322532027,0.0,0.0
0,1001,1984-05-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10020,2009-02-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.223059532780708,0.0,0.0
0,10021,2009-02-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1477015825169556,0.0,0.0
0,10022,2009-02-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1477015825169556,0.0,0.0
0,10023,2009-02-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10024,2009-02-10,0.0,0.0,0.0,0.0,0.0,15.601300108342361,0.0,0.0,28.440366972477065,0.037678975131876416,0.0,0.0
0,10025,2009-02-11,0.0,0.0,0.0,0.0,0.0,15.70964247020585,0.0,0.0,28.440366972477065,0.37678975131876413,0.0,0.0
0,10026,2009-02-12,0.0,0.0,0.0,0.0,0.0,14.517876489707476,0.0,0.0,28.440366972477065,0.37678975131876413,0.0,0.0
0,10027,2009-02-13,10.865874363327674,0.0,0.0,0.0,0.0,22.643553629469125,0.0,0.0,27.75229357798165,0.37678975131876413,0.0,0.0
0,10028,2009-02-14,11.205432937181664,0.0,0.0,0.0,0.0,25.677139761646806,0.0,0.0,23.623853211009173,0.37678975131876413,0.0,0.0
0,10029,2009-02-15,13.582342954159593,2.0706455542021924,0.0,0.0,0.0,12.892741061755148,0.0,0.0,0.0,0.0,0.0,0.0
0,1002,1984-05-30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10030,2009-02-16,14.827391058290889,2.496954933008526,0.0,0.0,0.0,12.892741061755148,0.0,0.0,0.0,0.0,0.0,0.0
0,10031,2009-02-17,14.827391058290889,2.496954933008526,0.0,0.0,0.0,12.134344528710725,0.0,0.0,0.0,0.0,0.0,0.0
0,10032,2009-02-18,7.4136955291454445,2.496954933008526,0.0,0.0,0.0,4.117009750812568,0.0,0.0,0.0,0.0,0.0,0.0
0,10033,2009-02-19,7.809847198641766,2.862362971985384,0.0,0.0,0.0,1.6251354279523293,0.0,0.0,0.0,0.0,0.0,0.0
0,10034,2009-02-20,5.885681946802491,3.7758830694275276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10035,2009-02-21,5.942275042444821,3.7758830694275276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10036,2009-02-22,5.772495755517826,3.7758830694275276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10037,2009-02-23,5.715902659875495,3.7758830694275276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8085908063300677,0.0,0.0
0,10038,2009-02-24,5.829088851160159,0.3045066991473812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.93594574227581,0.0,0.0
0,10039,2009-02-25,5.998868138087153,0.3045066991473812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.086661642803316,0.0,0.0
0,1003,1984-05-31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10040,2009-02-26,6.451612903225806,0.3045066991473812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.011303692539562,0.0,0.0
0,10041,2009-02-27,7.130730050933787,0.3045066991473812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1446872645064055,0.0,0.0
0,10042,2009-02-28,6.281833616298811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.1446872645064055,0.0,0.0
0,10043,2009-03-01,6.90435766836446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2403918613413714,0.0,0.0
0,10044,2009-03-02,9.281267685342389,0.12180267965895249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0519969856819893,0.0,0.0
0,10045,2009-03-03,9.507640067911714,0.12180267965895249,0.0,0.0,0.0,0.21668472372697722,0.0,0.0,0.0,0.0,0.0,0.0
0,10046,2009-03-04,7.753254102999434,0.0,0.0,0.0,0.0,0.21668472372697722,0.0,0.0,0.0,0.0,0.0,0.0
0,10047,2009-03-05,12.1675155631013,0.0,2.6963657678780772,0.0,0.0,0.21668472372697722,0.0,0.0,0.0,0.0,0.0,0.0
0,10048,2009-03-06,23.089983022071305,0.0,13.247362250879249,0.0,0.0,1.191765980498375,0.0,0.0,0.0,0.0,0.0,0.0
0,10049,2009-03-07,26.259196378041878,0.0,13.716295427901523,0.0,0.0,1.3001083423618636,0.0,0.0,0.0,0.0,0.0,0.0
0,1004,1984-06-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10050,2009-03-08,29.315223542727786,0.0,13.95076201641266,0.0,0.0,1.3001083423618636,0.0,0.0,0.45871559633027525,4.257724189902035,0.0,0.0
0,10051,2009-03-09,29.20203735144312,0.0,13.95076201641266,0.0,0.0,1.3001083423618636,0.0,0.0,0.45871559633027525,5.011303692539562,0.0,0.0
0,10052,2009-03-10,28.466327108092816,0.0,13.95076201641266,0.0,0.0,1.3001083423618636,0.0,0.0,0.45871559633027525,5.312735493594574,0.0,0.0
0,10053,2009-03-11,25.636672325976228,11.449451887941535,13.012895662368113,0.0,0.37611659614480486,0.9750812567713976,0.0,0.0,0.0,5.46345139412208,0.0,0.0
0,10054,2009-03-12,0.0,11.936662606577345,0.0,0.0,5.45369064409967,0.0,0.0,0.0,0.0,4.8605877920120575,0.0,0.0
