,country,latitude,longitude,index_start,index_end,index_peak,date_start,date_end,date_peak,duration,intensity_max,intensity_mean,intensity_cumulative,category,rateonset,ratedecline,reaction_window_days,coping_window_days
0,New Caledonia,-21.66666603088379,166.6666717529297,1054,1060,1058,1995-11-21,1995-11-27,1995-11-25,7,1.5845204630205743,1.2595649930189328,8.81695495113253,Moderate,0.12560049350970973,0.2802827035227125,4,2
1,New Caledonia,-21.66666603088379,166.6666717529297,1147,1152,1148,1996-02-22,1996-02-27,1996-02-23,6,1.4057678407238363,1.0894110792426652,6.536466475455992,Moderate,0.35279198103053727,0.11425808595500048,1,4
2,New Caledonia,-21.66666603088379,166.6666717529297,1160,1165,1164,1996-03-06,1996-03-11,1996-03-10,6,0.9994010617656102,0.9074768250988422,5.444860950593053,Moderate,0.03256306938800277,0.14814118416078279,4,1
3,New Caledonia,-21.66666603088379,166.6666717529297,1550,1554,1552,1997-03-31,1997-04-04,1997-04-02,5,0.7460052736343954,0.7268817286337622,3.634408643168811,Moderate,0.03276634216308807,0.03691152757214056,2,2
4,New Caledonia,-21.66666603088379,166.6666717529297,1681,1686,1682,1997-08-09,1997-08-14,1997-08-10,6,0.9500050698557203,0.8845106760660784,5.30706405639647,Moderate,0.14769404421570442,0.03352228116818326,1,4
5,New Caledonia,-21.66666603088379,166.6666717529297,1809,1813,1810,1997-12-15,1997-12-19,1997-12-16,5,1.0900195337110965,1.0284110776839754,5.142055388419877,Moderate,0.14143344920168607,0.034511531003607744,1,3
6,New Caledonia,-21.66666603088379,166.6666717529297,1938,1956,1941,1998-04-23,1998-05-11,1998-04-26,19,1.0595141995337727,0.8341020833454247,15.847939583563068,Moderate,0.09670359528009952,0.02137665445921193,3,15
7,New Caledonia,-21.66666603088379,166.6666717529297,1970,2087,1984,1998-05-25,1998-09-19,1998-06-08,118,1.4914031490202895,1.111099607635549,131.1097537009948,Strong,0.054196352422966866,0.007760658876461642,14,103
8,New Caledonia,-21.66666603088379,166.6666717529297,2105,2132,2113,1998-10-07,1998-11-03,1998-10-15,28,2.0308859425206336,1.272579404066235,35.63222331385458,Strong,0.13539346119484358,0.0581353505452474,8,19
9,New Caledonia,-21.66666603088379,166.6666717529297,2198,2209,2204,1999-01-08,1999-01-19,1999-01-14,12,1.5051991247361762,1.2989942335313376,15.58793080237605,Moderate,0.0682096930946383,0.08797815048799539,6,5
10,New Caledonia,-21.66666603088379,166.6666717529297,2265,2299,2287,1999-03-16,1999-04-19,1999-04-07,35,1.622560993317638,1.114468640446115,39.006402415614026,Strong,0.03958925295046996,0.07375110257056519,22,12
11,New Caledonia,-21.66666603088379,166.6666717529297,2989,3016,3012,2001-03-09,2001-04-05,2001-04-01,28,1.2104120562153504,0.9556063583919017,26.756978034973248,Moderate,0.01573329210772261,0.12146160166750598,23,4
12,New Caledonia,-21.66666603088379,166.6666717529297,3225,3229,3228,2001-10-31,2001-11-04,2001-11-03,5,1.690316723239036,1.4509614882930641,7.254807441465321,Moderate,0.17500797394783163,0.44920556263256967,3,1
