latitude,longitude,coastal_200m_more_depth,geometry,Country
-14.416666984558105,-170.6666717529297,1,POINT (-170.6666717529297 -14.416666984558105),American Samoa
-14.416666984558105,-170.9166717529297,1,POINT (-170.9166717529297 -14.416666984558105),American Samoa
-14.25,-169.75,1,POINT (-169.75 -14.25),American Samoa
-14.25,-169.5833282470703,1,POINT (-169.5833282470703 -14.25),American Samoa
-14.25,-169.6666717529297,1,POINT (-169.6666717529297 -14.25),American Samoa
-14.166666984558105,-169.5833282470703,1,POINT (-169.5833282470703 -14.166666984558105),American Samoa
-14.166666984558105,-169.75,1,POINT (-169.75 -14.166666984558105),American Samoa
-14.083333015441895,-169.75,1,POINT (-169.75 -14.083333015441895),American Samoa
-14.083333015441895,-169.6666717529297,1,POINT (-169.6666717529297 -14.083333015441895),American Samoa
-14.083333015441895,-169.5833282470703,1,POINT (-169.5833282470703 -14.083333015441895),American Samoa
-14.333333015441895,-170.9166717529297,1,POINT (-170.9166717529297 -14.333333015441895),American Samoa
-14.25,-170.9166717529297,1,POINT (-170.9166717529297 -14.25),American Samoa
-14.416666984558105,-170.8333282470703,1,POINT (-170.8333282470703 -14.416666984558105),American Samoa
-14.416666984558105,-170.75,1,POINT (-170.75 -14.416666984558105),American Samoa
-14.333333015441895,-170.5,1,POINT (-170.5 -14.333333015441895),American Samoa
-14.333333015441895,-170.6666717529297,1,POINT (-170.6666717529297 -14.333333015441895),American Samoa
-14.333333015441895,-170.5833282470703,1,POINT (-170.5833282470703 -14.333333015441895),American Samoa
-14.25,-170.5,1,POINT (-170.5 -14.25),American Samoa
-14.166666984558105,-170.8333282470703,1,POINT (-170.8333282470703 -14.166666984558105),American Samoa
-14.166666984558105,-170.6666717529297,1,POINT (-170.6666717529297 -14.166666984558105),American Samoa
-14.166666984558105,-170.75,1,POINT (-170.75 -14.166666984558105),American Samoa
-14.166666984558105,-170.5,1,POINT (-170.5 -14.166666984558105),American Samoa
-14.166666984558105,-170.5833282470703,1,POINT (-170.5833282470703 -14.166666984558105),American Samoa
-14.166666984558105,-170.9166717529297,1,POINT (-170.9166717529297 -14.166666984558105),American Samoa
