latitude,longitude,coastal_200m_more_depth,geometry,Country
-19.91666603088379,-158.3333282470703,1,POINT (-158.3333282470703 -19.91666603088379),Cook Islands
-19.91666603088379,-158.4166717529297,1,POINT (-158.4166717529297 -19.91666603088379),Cook Islands
-19.91666603088379,-158.25,1,POINT (-158.25 -19.91666603088379),Cook Islands
-19.83333396911621,-158.4166717529297,1,POINT (-158.4166717529297 -19.83333396911621),Cook Islands
-19.83333396911621,-158.25,1,POINT (-158.25 -19.83333396911621),Cook Islands
-19.75,-158.3333282470703,1,POINT (-158.3333282470703 -19.75),Cook Islands
-19.75,-158.4166717529297,1,POINT (-158.4166717529297 -19.75),Cook Islands
-19.75,-158.25,1,POINT (-158.25 -19.75),Cook Islands
-19.0,-159.75,1,POINT (-159.75 -19),Cook Islands
-19.0,-159.9166717529297,1,POINT (-159.9166717529297 -19),Cook Islands
-19.0,-159.8333282470703,1,POINT (-159.8333282470703 -19),Cook Islands
-18.91666603088379,-159.75,1,POINT (-159.75 -18.91666603088379),Cook Islands
-18.91666603088379,-159.9166717529297,1,POINT (-159.9166717529297 -18.91666603088379),Cook Islands
-18.83333396911621,-159.8333282470703,1,POINT (-159.8333282470703 -18.83333396911621),Cook Islands
-18.83333396911621,-159.9166717529297,1,POINT (-159.9166717529297 -18.83333396911621),Cook Islands
-18.83333396911621,-159.75,1,POINT (-159.75 -18.83333396911621),Cook Islands
-18.08333396911621,-163.25,1,POINT (-163.25 -18.08333396911621),Cook Islands
-18.08333396911621,-163.1666717529297,1,POINT (-163.1666717529297 -18.08333396911621),Cook Islands
-18.0,-163.25,1,POINT (-163.25 -18),Cook Islands
-18.08333396911621,-163.0833282470703,1,POINT (-163.0833282470703 -18.08333396911621),Cook Islands
-18.0,-163.0833282470703,1,POINT (-163.0833282470703 -18),Cook Islands
-17.91666603088379,-163.0833282470703,1,POINT (-163.0833282470703 -17.91666603088379),Cook Islands
-17.91666603088379,-163.25,1,POINT (-163.25 -17.91666603088379),Cook Islands
-17.91666603088379,-163.1666717529297,1,POINT (-163.1666717529297 -17.91666603088379),Cook Islands
-13.416666984558105,-163.0833282470703,1,POINT (-163.0833282470703 -13.416666984558105),Cook Islands
-13.416666984558105,-163.0,1,POINT (-163 -13.416666984558105),Cook Islands
-13.416666984558105,-163.25,1,POINT (-163.25 -13.416666984558105),Cook Islands
-13.416666984558105,-163.1666717529297,1,POINT (-163.1666717529297 -13.416666984558105),Cook Islands
-13.333333015441895,-163.25,1,POINT (-163.25 -13.333333015441895),Cook Islands
-13.25,-163.1666717529297,1,POINT (-163.1666717529297 -13.25),Cook Islands
-13.25,-163.25,1,POINT (-163.25 -13.25),Cook Islands
-13.333333015441895,-163.0,1,POINT (-163 -13.333333015441895),Cook Islands
-13.25,-163.0833282470703,1,POINT (-163.0833282470703 -13.25),Cook Islands
-13.25,-163.0,1,POINT (-163 -13.25),Cook Islands
-9.166666984558105,-157.8333282470703,1,POINT (-157.8333282470703 -9.166666984558105),Cook Islands
-9.166666984558105,-158.0,1,POINT (-158 -9.166666984558105),Cook Islands
-9.5,-162.0,1,POINT (-162 -9.5),Cook Islands
-9.416666984558105,-162.0,1,POINT (-162 -9.416666984558105),Cook Islands
-9.583333015441895,-162.0833282470703,1,POINT (-162.0833282470703 -9.583333015441895),Cook Islands
-9.583333015441895,-162.1666717529297,1,POINT (-162.1666717529297 -9.583333015441895),Cook Islands
-9.583333015441895,-162.0,1,POINT (-162 -9.583333015441895),Cook Islands
-9.5,-162.1666717529297,1,POINT (-162.1666717529297 -9.5),Cook Islands
-9.416666984558105,-162.1666717529297,1,POINT (-162.1666717529297 -9.416666984558105),Cook Islands
-9.416666984558105,-162.0833282470703,1,POINT (-162.0833282470703 -9.416666984558105),Cook Islands
-9.166666984558105,-157.9166717529297,1,POINT (-157.9166717529297 -9.166666984558105),Cook Islands
-9.083333015441895,-157.8333282470703,1,POINT (-157.8333282470703 -9.083333015441895),Cook Islands
-9.083333015441895,-158.0,1,POINT (-158 -9.083333015441895),Cook Islands
-9.083333015441895,-158.0833282470703,1,POINT (-158.0833282470703 -9.083333015441895),Cook Islands
-9.0,-158.0833282470703,1,POINT (-158.0833282470703 -9),Cook Islands
-9.0,-157.8333282470703,1,POINT (-157.8333282470703 -9),Cook Islands
-9.0,-157.9166717529297,1,POINT (-157.9166717529297 -9),Cook Islands
-8.916666984558105,-157.9166717529297,1,POINT (-157.9166717529297 -8.916666984558105),Cook Islands
-8.916666984558105,-158.0833282470703,1,POINT (-158.0833282470703 -8.916666984558105),Cook Islands
