latitude,longitude,coastal_200m_more_depth,geometry,Country
-24.16666603088379,-179.0,1,POINT (-179 -24.16666603088379),Fiji
-24.0,-179.25,1,POINT (-179.25 -24),Fiji
-24.08333396911621,-179.0,1,POINT (-179 -24.08333396911621),Fiji
-24.0,-179.1666717529297,1,POINT (-179.1666717529297 -24),Fiji
-24.0,-179.0833282470703,1,POINT (-179.0833282470703 -24),Fiji
-24.0,-179.0,1,POINT (-179 -24),Fiji
-23.91666603088379,-179.25,1,POINT (-179.25 -23.91666603088379),Fiji
-23.83333396911621,-179.25,1,POINT (-179.25 -23.83333396911621),Fiji
-23.83333396911621,-178.8333282470703,1,POINT (-178.8333282470703 -23.83333396911621),Fiji
-23.75,-178.9166717529297,1,POINT (-178.9166717529297 -23.75),Fiji
-24.0,-178.9166717529297,1,POINT (-178.9166717529297 -24),Fiji
-23.91666603088379,-178.8333282470703,1,POINT (-178.8333282470703 -23.91666603088379),Fiji
-23.83333396911621,-179.0,1,POINT (-179 -23.83333396911621),Fiji
-23.83333396911621,-178.9166717529297,1,POINT (-178.9166717529297 -23.83333396911621),Fiji
-23.75,-179.1666717529297,1,POINT (-179.1666717529297 -23.75),Fiji
-23.75,-179.0833282470703,1,POINT (-179.0833282470703 -23.75),Fiji
-23.75,-179.0,1,POINT (-179 -23.75),Fiji
-23.75,-179.25,1,POINT (-179.25 -23.75),Fiji
-23.66666603088379,-179.0,1,POINT (-179 -23.66666603088379),Fiji
-23.58333396911621,-179.0,1,POINT (-179 -23.58333396911621),Fiji
-23.75,-178.8333282470703,1,POINT (-178.8333282470703 -23.75),Fiji
-23.66666603088379,-178.8333282470703,1,POINT (-178.8333282470703 -23.66666603088379),Fiji
-23.58333396911621,-178.8333282470703,1,POINT (-178.8333282470703 -23.58333396911621),Fiji
-23.58333396911621,-178.9166717529297,1,POINT (-178.9166717529297 -23.58333396911621),Fiji
-22.25,-178.8333282470703,1,POINT (-178.8333282470703 -22.25),Fiji
-22.25,-178.6666717529297,1,POINT (-178.6666717529297 -22.25),Fiji
-22.25,-178.75,1,POINT (-178.75 -22.25),Fiji
-22.16666603088379,-178.8333282470703,1,POINT (-178.8333282470703 -22.16666603088379),Fiji
-22.16666603088379,-178.6666717529297,1,POINT (-178.6666717529297 -22.16666603088379),Fiji
-22.08333396911621,-178.75,1,POINT (-178.75 -22.08333396911621),Fiji
-22.08333396911621,-178.8333282470703,1,POINT (-178.8333282470703 -22.08333396911621),Fiji
-22.08333396911621,-178.6666717529297,1,POINT (-178.6666717529297 -22.08333396911621),Fiji
-21.08333396911621,-178.75,1,POINT (-178.75 -21.08333396911621),Fiji
-21.08333396911621,-178.8333282470703,1,POINT (-178.8333282470703 -21.08333396911621),Fiji
-21.08333396911621,-178.6666717529297,1,POINT (-178.6666717529297 -21.08333396911621),Fiji
-21.0,-178.8333282470703,1,POINT (-178.8333282470703 -21),Fiji
-21.0,-178.6666717529297,1,POINT (-178.6666717529297 -21),Fiji
-20.91666603088379,-178.75,1,POINT (-178.75 -20.91666603088379),Fiji
-20.91666603088379,-178.8333282470703,1,POINT (-178.8333282470703 -20.91666603088379),Fiji
-20.91666603088379,-178.6666717529297,1,POINT (-178.6666717529297 -20.91666603088379),Fiji
-20.75,-178.6666717529297,1,POINT (-178.6666717529297 -20.75),Fiji
