latitude,longitude,coastal_200m_more_depth,geometry,Country
-19.16666603088379,-169.9166717529297,1,POINT (-169.9166717529297 -19.16666603088379),Niue
-19.16666603088379,-169.75,1,POINT (-169.75 -19.16666603088379),Niue
-19.16666603088379,-169.8333282470703,1,POINT (-169.8333282470703 -19.16666603088379),Niue
-19.08333396911621,-169.75,1,POINT (-169.75 -19.08333396911621),Niue
-19.0,-169.75,1,POINT (-169.75 -19),Niue
-19.0,-169.9166717529297,1,POINT (-169.9166717529297 -19),Niue
-18.91666603088379,-169.8333282470703,1,POINT (-169.8333282470703 -18.91666603088379),Niue
-18.91666603088379,-169.9166717529297,1,POINT (-169.9166717529297 -18.91666603088379),Niue
-18.91666603088379,-169.75,1,POINT (-169.75 -18.91666603088379),Niue
-18.33333396911621,-168.5,1,POINT (-168.5 -18.33333396911621),Niue
-18.33333396911621,-168.4166717529297,1,POINT (-168.4166717529297 -18.33333396911621),Niue
-18.33333396911621,-168.3333282470703,1,POINT (-168.3333282470703 -18.33333396911621),Niue
-18.25,-168.5,1,POINT (-168.5 -18.25),Niue
-18.25,-168.3333282470703,1,POINT (-168.3333282470703 -18.25),Niue
-18.16666603088379,-168.5,1,POINT (-168.5 -18.16666603088379),Niue
-18.16666603088379,-168.3333282470703,1,POINT (-168.3333282470703 -18.16666603088379),Niue
-18.16666603088379,-168.4166717529297,1,POINT (-168.4166717529297 -18.16666603088379),Niue
