latitude,longitude,coastal_200m_more_depth,geometry,Country
-14.083333015441895,-171.5833282470703,1,POINT (-171.5833282470703 -14.083333015441895),Samoa
-14.083333015441895,-171.4166717529297,1,POINT (-171.4166717529297 -14.083333015441895),Samoa
-14.083333015441895,-171.5,1,POINT (-171.5 -14.083333015441895),Samoa
-14.083333015441895,-171.3333282470703,1,POINT (-171.3333282470703 -14.083333015441895),Samoa
-14.0,-171.3333282470703,1,POINT (-171.3333282470703 -14),Samoa
-13.916666984558105,-171.3333282470703,1,POINT (-171.3333282470703 -13.916666984558105),Samoa
-13.833333015441895,-171.4166717529297,1,POINT (-171.4166717529297 -13.833333015441895),Samoa
-14.083333015441895,-172.25,1,POINT (-172.25 -14.083333015441895),Samoa
-14.083333015441895,-172.0833282470703,1,POINT (-172.0833282470703 -14.083333015441895),Samoa
-14.083333015441895,-172.1666717529297,1,POINT (-172.1666717529297 -14.083333015441895),Samoa
-14.0,-172.0,1,POINT (-172 -14),Samoa
-14.0,-172.25,1,POINT (-172.25 -14),Samoa
-14.0,-172.0833282470703,1,POINT (-172.0833282470703 -14),Samoa
-14.083333015441895,-171.75,1,POINT (-171.75 -14.083333015441895),Samoa
-14.083333015441895,-171.8333282470703,1,POINT (-171.8333282470703 -14.083333015441895),Samoa
-14.083333015441895,-171.6666717529297,1,POINT (-171.6666717529297 -14.083333015441895),Samoa
-13.833333015441895,-172.4166717529297,1,POINT (-172.4166717529297 -13.833333015441895),Samoa
-13.75,-171.5833282470703,1,POINT (-171.5833282470703 -13.75),Samoa
-13.916666984558105,-172.25,1,POINT (-172.25 -13.916666984558105),Samoa
-13.916666984558105,-172.3333282470703,1,POINT (-172.3333282470703 -13.916666984558105),Samoa
-13.833333015441895,-172.3333282470703,1,POINT (-172.3333282470703 -13.833333015441895),Samoa
-13.833333015441895,-172.5,1,POINT (-172.5 -13.833333015441895),Samoa
-13.75,-172.5833282470703,1,POINT (-172.5833282470703 -13.75),Samoa
-13.75,-172.6666717529297,1,POINT (-172.6666717529297 -13.75),Samoa
-13.666666984558105,-172.75,1,POINT (-172.75 -13.666666984558105),Samoa
-13.666666984558105,-172.6666717529297,1,POINT (-172.6666717529297 -13.666666984558105),Samoa
-13.75,-171.75,1,POINT (-171.75 -13.75),Samoa
-13.666666984558105,-171.8333282470703,1,POINT (-171.8333282470703 -13.666666984558105),Samoa
-13.666666984558105,-171.6666717529297,1,POINT (-171.6666717529297 -13.666666984558105),Samoa
-13.666666984558105,-171.75,1,POINT (-171.75 -13.666666984558105),Samoa
-13.583333015441895,-171.8333282470703,1,POINT (-171.8333282470703 -13.583333015441895),Samoa
-13.583333015441895,-171.9166717529297,1,POINT (-171.9166717529297 -13.583333015441895),Samoa
-13.666666984558105,-172.0,1,POINT (-172 -13.666666984558105),Samoa
-13.583333015441895,-172.75,1,POINT (-172.75 -13.583333015441895),Samoa
-13.583333015441895,-172.8333282470703,1,POINT (-172.8333282470703 -13.583333015441895),Samoa
-13.5,-172.8333282470703,1,POINT (-172.8333282470703 -13.5),Samoa
-13.416666984558105,-172.8333282470703,1,POINT (-172.8333282470703 -13.416666984558105),Samoa
-13.166666984558105,-174.4166717529297,1,POINT (-174.4166717529297 -13.166666984558105),Samoa
-13.166666984558105,-174.3333282470703,1,POINT (-174.3333282470703 -13.166666984558105),Samoa
-13.083333015441895,-174.3333282470703,1,POINT (-174.3333282470703 -13.083333015441895),Samoa
-13.0,-174.3333282470703,1,POINT (-174.3333282470703 -13),Samoa
-13.0,-174.4166717529297,1,POINT (-174.4166717529297 -13),Samoa
-13.583333015441895,-172.0833282470703,1,POINT (-172.0833282470703 -13.583333015441895),Samoa
-13.583333015441895,-172.0,1,POINT (-172 -13.583333015441895),Samoa
-13.5,-172.1666717529297,1,POINT (-172.1666717529297 -13.5),Samoa
-13.5,-172.25,1,POINT (-172.25 -13.5),Samoa
-13.5,-172.0833282470703,1,POINT (-172.0833282470703 -13.5),Samoa
-13.416666984558105,-172.5,1,POINT (-172.5 -13.416666984558105),Samoa
-13.416666984558105,-172.4166717529297,1,POINT (-172.4166717529297 -13.416666984558105),Samoa
-13.416666984558105,-172.3333282470703,1,POINT (-172.3333282470703 -13.416666984558105),Samoa
-13.416666984558105,-172.25,1,POINT (-172.25 -13.416666984558105),Samoa
-13.416666984558105,-172.6666717529297,1,POINT (-172.6666717529297 -13.416666984558105),Samoa
-13.416666984558105,-172.75,1,POINT (-172.75 -13.416666984558105),Samoa
-13.416666984558105,-172.5833282470703,1,POINT (-172.5833282470703 -13.416666984558105),Samoa
-13.833333015441895,-171.5,1,POINT (-171.5 -13.833333015441895),Samoa
-13.833333015441895,-171.3333282470703,1,POINT (-171.3333282470703 -13.833333015441895),Samoa
-13.75,-171.5,1,POINT (-171.5 -13.75),Samoa
-13.666666984558105,-171.5833282470703,1,POINT (-171.5833282470703 -13.666666984558105),Samoa
-12.666666984558105,-174.3333282470703,1,POINT (-174.3333282470703 -12.666666984558105),Samoa
-12.583333015441895,-174.25,1,POINT (-174.25 -12.583333015441895),Samoa
-12.5,-174.25,1,POINT (-174.25 -12.5),Samoa
-12.416666984558105,-174.25,1,POINT (-174.25 -12.416666984558105),Samoa
-12.666666984558105,-174.25,1,POINT (-174.25 -12.666666984558105),Samoa
-12.416666984558105,-174.3333282470703,1,POINT (-174.3333282470703 -12.416666984558105),Samoa
