latitude,longitude,coastal_200m_more_depth,geometry,Country
-12.666666984558105,172.0833282470703,1,POINT (172.0833282470703 -12.666666984558105),Solomon Islands
-12.666666984558105,172.1666717529297,1,POINT (172.1666717529297 -12.666666984558105),Solomon Islands
-12.666666984558105,172.3333282470703,1,POINT (172.3333282470703 -12.666666984558105),Solomon Islands
-12.583333015441895,172.3333282470703,1,POINT (172.3333282470703 -12.583333015441895),Solomon Islands
-12.583333015441895,172.5833282470703,1,POINT (172.5833282470703 -12.583333015441895),Solomon Islands
-12.666666984558105,172.25,1,POINT (172.25 -12.666666984558105),Solomon Islands
-12.583333015441895,172.0833282470703,1,POINT (172.0833282470703 -12.583333015441895),Solomon Islands
-12.5,172.25,1,POINT (172.25 -12.5),Solomon Islands
-12.5,172.0833282470703,1,POINT (172.0833282470703 -12.5),Solomon Islands
-12.5,172.1666717529297,1,POINT (172.1666717529297 -12.5),Solomon Islands
-12.5,172.3333282470703,1,POINT (172.3333282470703 -12.5),Solomon Islands
-12.5,172.5833282470703,1,POINT (172.5833282470703 -12.5),Solomon Islands
-12.416666984558105,172.5833282470703,1,POINT (172.5833282470703 -12.416666984558105),Solomon Islands
-12.25,171.8333282470703,1,POINT (171.8333282470703 -12.25),Solomon Islands
-12.25,171.9166717529297,1,POINT (171.9166717529297 -12.25),Solomon Islands
-12.166666984558105,171.8333282470703,1,POINT (171.8333282470703 -12.166666984558105),Solomon Islands
-12.083333015441895,171.8333282470703,1,POINT (171.8333282470703 -12.083333015441895),Solomon Islands
-12.25,172.0,1,POINT (172 -12.25),Solomon Islands
-12.166666984558105,172.0,1,POINT (172 -12.166666984558105),Solomon Islands
-12.083333015441895,171.9166717529297,1,POINT (171.9166717529297 -12.083333015441895),Solomon Islands
-11.666666984558105,169.9166717529297,1,POINT (169.9166717529297 -11.666666984558105),Solomon Islands
-11.666666984558105,169.75,1,POINT (169.75 -11.666666984558105),Solomon Islands
-11.666666984558105,169.8333282470703,1,POINT (169.8333282470703 -11.666666984558105),Solomon Islands
-12.083333015441895,172.0,1,POINT (172 -12.083333015441895),Solomon Islands
-12.0,172.25,1,POINT (172.25 -12),Solomon Islands
-12.0,172.1666717529297,1,POINT (172.1666717529297 -12),Solomon Islands
-12.0,171.9166717529297,1,POINT (171.9166717529297 -12),Solomon Islands
-12.0,172.0,1,POINT (172 -12),Solomon Islands
-12.0,172.0833282470703,1,POINT (172.0833282470703 -12),Solomon Islands
-11.916666984558105,171.9166717529297,1,POINT (171.9166717529297 -11.916666984558105),Solomon Islands
-12.0,172.3333282470703,1,POINT (172.3333282470703 -12),Solomon Islands
-11.916666984558105,172.3333282470703,1,POINT (172.3333282470703 -11.916666984558105),Solomon Islands
-11.833333015441895,172.0,1,POINT (172 -11.833333015441895),Solomon Islands
-11.833333015441895,171.9166717529297,1,POINT (171.9166717529297 -11.833333015441895),Solomon Islands
-11.75,172.1666717529297,1,POINT (172.1666717529297 -11.75),Solomon Islands
-11.75,172.0,1,POINT (172 -11.75),Solomon Islands
-11.75,172.0833282470703,1,POINT (172.0833282470703 -11.75),Solomon Islands
-11.75,172.25,1,POINT (172.25 -11.75),Solomon Islands
-11.833333015441895,172.3333282470703,1,POINT (172.3333282470703 -11.833333015441895),Solomon Islands
-11.75,172.3333282470703,1,POINT (172.3333282470703 -11.75),Solomon Islands
-11.583333015441895,169.9166717529297,1,POINT (169.9166717529297 -11.583333015441895),Solomon Islands
-11.583333015441895,169.75,1,POINT (169.75 -11.583333015441895),Solomon Islands
-11.5,169.8333282470703,1,POINT (169.8333282470703 -11.5),Solomon Islands
-11.5,169.75,1,POINT (169.75 -11.5),Solomon Islands
-11.5,169.9166717529297,1,POINT (169.9166717529297 -11.5),Solomon Islands
-13.166666984558105,160.5833282470703,1,POINT (160.5833282470703 -13.166666984558105),Solomon Islands
-13.166666984558105,160.6666717529297,1,POINT (160.6666717529297 -13.166666984558105),Solomon Islands
-13.166666984558105,160.5,1,POINT (160.5 -13.166666984558105),Solomon Islands
-13.083333015441895,160.5,1,POINT (160.5 -13.083333015441895),Solomon Islands
-13.083333015441895,160.6666717529297,1,POINT (160.6666717529297 -13.083333015441895),Solomon Islands
-13.0,160.5,1,POINT (160.5 -13),Solomon Islands
-13.0,160.6666717529297,1,POINT (160.6666717529297 -13),Solomon Islands
-12.916666984558105,160.6666717529297,1,POINT (160.6666717529297 -12.916666984558105),Solomon Islands
-12.916666984558105,160.4166717529297,1,POINT (160.4166717529297 -12.916666984558105),Solomon Islands
-12.916666984558105,160.5,1,POINT (160.5 -12.916666984558105),Solomon Islands
-12.833333015441895,160.5833282470703,1,POINT (160.5833282470703 -12.833333015441895),Solomon Islands
-12.833333015441895,160.6666717529297,1,POINT (160.6666717529297 -12.833333015441895),Solomon Islands
-12.75,160.5833282470703,1,POINT (160.5833282470703 -12.75),Solomon Islands
-12.666666984558105,160.5,1,POINT (160.5 -12.666666984558105),Solomon Islands
-12.666666984558105,160.5833282470703,1,POINT (160.5833282470703 -12.666666984558105),Solomon Islands
-12.916666984558105,160.3333282470703,1,POINT (160.3333282470703 -12.916666984558105),Solomon Islands
-12.833333015441895,160.3333282470703,1,POINT (160.3333282470703 -12.833333015441895),Solomon Islands
-12.833333015441895,160.25,1,POINT (160.25 -12.833333015441895),Solomon Islands
-12.75,160.25,1,POINT (160.25 -12.75),Solomon Islands
-12.666666984558105,160.25,1,POINT (160.25 -12.666666984558105),Solomon Islands
-12.666666984558105,160.1666717529297,1,POINT (160.1666717529297 -12.666666984558105),Solomon Islands
-12.583333015441895,160.1666717529297,1,POINT (160.1666717529297 -12.583333015441895),Solomon Islands
-12.5,160.1666717529297,1,POINT (160.1666717529297 -12.5),Solomon Islands
-12.5,160.0833282470703,1,POINT (160.0833282470703 -12.5),Solomon Islands
-11.75,166.75,1,POINT (166.75 -11.75),Solomon Islands
-11.75,166.9166717529297,1,POINT (166.9166717529297 -11.75),Solomon Islands
