latitude,longitude,coastal_200m_more_depth,geometry,Country
-24.16666603088379,-178.8333282470703,1,POINT (-178.8333282470703 -24.16666603088379),Tonga
-24.16666603088379,-178.9166717529297,1,POINT (-178.9166717529297 -24.16666603088379),Tonga
-24.08333396911621,-178.8333282470703,1,POINT (-178.8333282470703 -24.08333396911621),Tonga
-24.0,-178.8333282470703,1,POINT (-178.8333282470703 -24),Tonga
-22.91666603088379,-175.9166717529297,1,POINT (-175.9166717529297 -22.91666603088379),Tonga
-22.83333396911621,-175.9166717529297,1,POINT (-175.9166717529297 -22.83333396911621),Tonga
-22.75,-175.9166717529297,1,POINT (-175.9166717529297 -22.75),Tonga
-22.83333396911621,-175.75,1,POINT (-175.75 -22.83333396911621),Tonga
-22.83333396911621,-175.6666717529297,1,POINT (-175.6666717529297 -22.83333396911621),Tonga
-22.75,-175.75,1,POINT (-175.75 -22.75),Tonga
-22.75,-175.8333282470703,1,POINT (-175.8333282470703 -22.75),Tonga
-23.0,-175.75,1,POINT (-175.75 -23),Tonga
-23.0,-175.6666717529297,1,POINT (-175.6666717529297 -23),Tonga
-23.0,-175.8333282470703,1,POINT (-175.8333282470703 -23),Tonga
-22.91666603088379,-175.6666717529297,1,POINT (-175.6666717529297 -22.91666603088379),Tonga
-22.91666603088379,-175.8333282470703,1,POINT (-175.8333282470703 -22.91666603088379),Tonga
-22.25,-175.4166717529297,1,POINT (-175.4166717529297 -22.25),Tonga
-22.25,-175.3333282470703,1,POINT (-175.3333282470703 -22.25),Tonga
-22.25,-175.25,1,POINT (-175.25 -22.25),Tonga
-22.16666603088379,-175.25,1,POINT (-175.25 -22.16666603088379),Tonga
-22.16666603088379,-175.4166717529297,1,POINT (-175.4166717529297 -22.16666603088379),Tonga
-22.08333396911621,-175.3333282470703,1,POINT (-175.3333282470703 -22.08333396911621),Tonga
-22.08333396911621,-175.25,1,POINT (-175.25 -22.08333396911621),Tonga
-22.08333396911621,-175.4166717529297,1,POINT (-175.4166717529297 -22.08333396911621),Tonga
-21.5,-175.0,1,POINT (-175 -21.5),Tonga
-21.5,-174.9166717529297,1,POINT (-174.9166717529297 -21.5),Tonga
-21.41666603088379,-175.0833282470703,1,POINT (-175.0833282470703 -21.41666603088379),Tonga
-21.41666603088379,-175.1666717529297,1,POINT (-175.1666717529297 -21.41666603088379),Tonga
-21.5,-174.8333282470703,1,POINT (-174.8333282470703 -21.5),Tonga
-21.41666603088379,-175.0,1,POINT (-175 -21.41666603088379),Tonga
-21.41666603088379,-174.8333282470703,1,POINT (-174.8333282470703 -21.41666603088379),Tonga
-21.33333396911621,-174.8333282470703,1,POINT (-174.8333282470703 -21.33333396911621),Tonga
-21.33333396911621,-175.1666717529297,1,POINT (-175.1666717529297 -21.33333396911621),Tonga
-21.33333396911621,-175.25,1,POINT (-175.25 -21.33333396911621),Tonga
-21.25,-175.3333282470703,1,POINT (-175.3333282470703 -21.25),Tonga
-21.25,-175.25,1,POINT (-175.25 -21.25),Tonga
-21.25,-174.8333282470703,1,POINT (-174.8333282470703 -21.25),Tonga
-21.25,-174.9166717529297,1,POINT (-174.9166717529297 -21.25),Tonga
-21.25,-175.0,1,POINT (-175 -21.25),Tonga
-21.16666603088379,-175.0,1,POINT (-175 -21.16666603088379),Tonga
-21.16666603088379,-175.4166717529297,1,POINT (-175.4166717529297 -21.16666603088379),Tonga
-21.16666603088379,-175.3333282470703,1,POINT (-175.3333282470703 -21.16666603088379),Tonga
-21.0,-175.3333282470703,1,POINT (-175.3333282470703 -21),Tonga
-21.08333396911621,-175.0,1,POINT (-175 -21.08333396911621),Tonga
-21.08333396911621,-174.9166717529297,1,POINT (-174.9166717529297 -21.08333396911621),Tonga
-21.0,-174.9166717529297,1,POINT (-174.9166717529297 -21),Tonga
