latitude,longitude,coastal_200m_more_depth,geometry,Country
-12.416666984558105,-179.5,1,POINT (-179.5 -12.416666984558105),Tuvalu
-12.416666984558105,-179.4166717529297,1,POINT (-179.4166717529297 -12.416666984558105),Tuvalu
-12.416666984558105,-179.3333282470703,1,POINT (-179.3333282470703 -12.416666984558105),Tuvalu
-12.333333015441895,-179.5833282470703,1,POINT (-179.5833282470703 -12.333333015441895),Tuvalu
-12.333333015441895,-179.3333282470703,1,POINT (-179.3333282470703 -12.333333015441895),Tuvalu
-12.333333015441895,-179.5,1,POINT (-179.5 -12.333333015441895),Tuvalu
-12.25,-179.3333282470703,1,POINT (-179.3333282470703 -12.25),Tuvalu
-11.833333015441895,-178.3333282470703,1,POINT (-178.3333282470703 -11.833333015441895),Tuvalu
-12.333333015441895,-179.6666717529297,1,POINT (-179.6666717529297 -12.333333015441895),Tuvalu
-12.25,-179.75,1,POINT (-179.75 -12.25),Tuvalu
-12.25,-179.6666717529297,1,POINT (-179.6666717529297 -12.25),Tuvalu
-12.25,-179.1666717529297,1,POINT (-179.1666717529297 -12.25),Tuvalu
-12.25,-179.25,1,POINT (-179.25 -12.25),Tuvalu
-12.166666984558105,-179.75,1,POINT (-179.75 -12.166666984558105),Tuvalu
-12.083333015441895,-179.75,1,POINT (-179.75 -12.083333015441895),Tuvalu
-12.0,-179.4166717529297,1,POINT (-179.4166717529297 -12),Tuvalu
-12.166666984558105,-179.1666717529297,1,POINT (-179.1666717529297 -12.166666984558105),Tuvalu
-12.083333015441895,-179.1666717529297,1,POINT (-179.1666717529297 -12.083333015441895),Tuvalu
-12.083333015441895,-179.25,1,POINT (-179.25 -12.083333015441895),Tuvalu
-12.0,-179.25,1,POINT (-179.25 -12),Tuvalu
-12.0,-179.75,1,POINT (-179.75 -12),Tuvalu
-11.916666984558105,-179.9166717529297,1,POINT (-179.9166717529297 -11.916666984558105),Tuvalu
-11.916666984558105,-179.75,1,POINT (-179.75 -11.916666984558105),Tuvalu
-11.916666984558105,-179.8333282470703,1,POINT (-179.8333282470703 -11.916666984558105),Tuvalu
-12.0,-179.3333282470703,1,POINT (-179.3333282470703 -12),Tuvalu
-11.916666984558105,-179.5,1,POINT (-179.5 -11.916666984558105),Tuvalu
-11.916666984558105,-179.4166717529297,1,POINT (-179.4166717529297 -11.916666984558105),Tuvalu
-11.833333015441895,-179.9166717529297,1,POINT (-179.9166717529297 -11.833333015441895),Tuvalu
-11.833333015441895,-180.0,1,POINT (-180 -11.833333015441895),Tuvalu
-11.75,-180.0,1,POINT (-180 -11.75),Tuvalu
-11.75,-178.3333282470703,1,POINT (-178.3333282470703 -11.75),Tuvalu
-11.666666984558105,-178.3333282470703,1,POINT (-178.3333282470703 -11.666666984558105),Tuvalu
-11.666666984558105,-178.25,1,POINT (-178.25 -11.666666984558105),Tuvalu
-11.833333015441895,-179.5,1,POINT (-179.5 -11.833333015441895),Tuvalu
-11.75,-179.5,1,POINT (-179.5 -11.75),Tuvalu
-11.75,-179.5833282470703,1,POINT (-179.5833282470703 -11.75),Tuvalu
-11.666666984558105,-179.5833282470703,1,POINT (-179.5833282470703 -11.666666984558105),Tuvalu
-11.666666984558105,-179.6666717529297,1,POINT (-179.6666717529297 -11.666666984558105),Tuvalu
-11.666666984558105,-180.0,1,POINT (-180 -11.666666984558105),Tuvalu
-11.583333015441895,-180.0,1,POINT (-180 -11.583333015441895),Tuvalu
-11.583333015441895,-179.75,1,POINT (-179.75 -11.583333015441895),Tuvalu
-11.583333015441895,-179.9166717529297,1,POINT (-179.9166717529297 -11.583333015441895),Tuvalu
-11.583333015441895,-179.8333282470703,1,POINT (-179.8333282470703 -11.583333015441895),Tuvalu
-11.583333015441895,-179.6666717529297,1,POINT (-179.6666717529297 -11.583333015441895),Tuvalu
