latitude,longitude,coastal_200m_more_depth,geometry,Country
-13.166666984558105,-174.5,1,POINT (-174.5 -13.166666984558105),Wallis and Futuna
-13.083333015441895,-174.5,1,POINT (-174.5 -13.083333015441895),Wallis and Futuna
-13.0,-174.5,1,POINT (-174.5 -13),Wallis and Futuna
-14.416666984558105,-175.75,1,POINT (-175.75 -14.416666984558105),Wallis and Futuna
-14.5,-176.0833282470703,1,POINT (-176.0833282470703 -14.5),Wallis and Futuna
-14.5,-176.0,1,POINT (-176 -14.5),Wallis and Futuna
-14.5,-176.1666717529297,1,POINT (-176.1666717529297 -14.5),Wallis and Futuna
-14.416666984558105,-175.9166717529297,1,POINT (-175.9166717529297 -14.416666984558105),Wallis and Futuna
-14.416666984558105,-176.1666717529297,1,POINT (-176.1666717529297 -14.416666984558105),Wallis and Futuna
-14.333333015441895,-175.6666717529297,1,POINT (-175.6666717529297 -14.333333015441895),Wallis and Futuna
-14.333333015441895,-175.75,1,POINT (-175.75 -14.333333015441895),Wallis and Futuna
-14.333333015441895,-175.5833282470703,1,POINT (-175.5833282470703 -14.333333015441895),Wallis and Futuna
-14.333333015441895,-176.0,1,POINT (-176 -14.333333015441895),Wallis and Futuna
-14.333333015441895,-175.9166717529297,1,POINT (-175.9166717529297 -14.333333015441895),Wallis and Futuna
-14.333333015441895,-176.1666717529297,1,POINT (-176.1666717529297 -14.333333015441895),Wallis and Futuna
-14.25,-176.0833282470703,1,POINT (-176.0833282470703 -14.25),Wallis and Futuna
-14.25,-176.0,1,POINT (-176 -14.25),Wallis and Futuna
-14.25,-176.1666717529297,1,POINT (-176.1666717529297 -14.25),Wallis and Futuna
-14.416666984558105,-177.9166717529297,1,POINT (-177.9166717529297 -14.416666984558105),Wallis and Futuna
-14.416666984558105,-178.0833282470703,1,POINT (-178.0833282470703 -14.416666984558105),Wallis and Futuna
-14.416666984558105,-178.0,1,POINT (-178 -14.416666984558105),Wallis and Futuna
-14.416666984558105,-178.1666717529297,1,POINT (-178.1666717529297 -14.416666984558105),Wallis and Futuna
-14.333333015441895,-178.1666717529297,1,POINT (-178.1666717529297 -14.333333015441895),Wallis and Futuna
-14.333333015441895,-178.25,1,POINT (-178.25 -14.333333015441895),Wallis and Futuna
-14.25,-178.25,1,POINT (-178.25 -14.25),Wallis and Futuna
-14.166666984558105,-178.1666717529297,1,POINT (-178.1666717529297 -14.166666984558105),Wallis and Futuna
-14.333333015441895,-177.9166717529297,1,POINT (-177.9166717529297 -14.333333015441895),Wallis and Futuna
